language,file,function,start_line,end_line,complexity
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_compiled_17e7627b._.js,so,3104,3118,896
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_compiled_next-devtools_index_bb80cfe9.js,so,1644,1658,896
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_34196111._.js,getInferredFunctionApproximate,14268,15552,554
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_37f8b5ee._.js,getInferredFunctionApproximate,14248,15532,554
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_compiled_react-server-dom-turbopack_92509bcb._.js,getInferredFunctionApproximate,1502,2808,553
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_34196111._.js,parseModelString,14278,15551,546
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_37f8b5ee._.js,parseModelString,14258,15531,546
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_compiled_react-server-dom-turbopack_92509bcb._.js,parseModelString,1512,2807,545
JavaScript,apps/frontend/app/trade/page.js,TradePage,51,2175,469
JavaScript,apps/frontend/.next/static/chunks/5982c62c56dc3e88.js,sQ,1,1,461
JavaScript,apps/frontend/.next/server/chunks/ssr/apps_frontend_app_trade_page_6e33dbd5.js,dR,1,1,458
JavaScript,apps/frontend/.next/static/chunks/944c8034fc7b0e72.js,A,1,1,406
JavaScript,apps/frontend/.next/dev/static/chunks/[root-of-the-server]__8c0fc869._.js,TradePage,127,2832,404
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/[root-of-the-server]__75f4070d._.js,TradePage,136,2764,401
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/[root-of-the-server]__948a2e61._.js,TradePage,162,2790,401
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_34196111._.js,fetch,20375,21089,293
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_37f8b5ee._.js,fetch,20355,21069,293
JavaScript,apps/frontend/.next/server/chunks/[root-of-the-server]__05f96b20._.js,em,19,19,250
JavaScript,apps/frontend/.next/server/chunks/ssr/[root-of-the-server]__780bd886._.js,cn,8,8,250
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_3adea6a4._.js,parse,3328,4187,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_a646c4e0._.js,parse,1258,2117,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_ab93c02e._.js,parse,1253,2112,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_b92c1e09._.js,parse,3396,4255,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_4998827c._.js,parse,3351,4210,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_97759170._.js,parse,3351,4210,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/_05fb576a._.js,parse,20984,21843,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/_3b156cd6._.js,parse,3396,4255,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/_555c07fe._.js,parse,3396,4255,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/_568ee28b._.js,parse,20984,21843,248
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_82e9bb3c._.js,parse,1419,2278,248
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_ba120560._.js,parse,1192,2051,248
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_dist_compiled_060afe78._.js,parse,436,1295,248
JavaScript,apps/frontend/.next/dev/static/chunks/6063a_next_e4c84893._.js,parse,1423,2282,248
JavaScript,apps/frontend/.next/dev/static/chunks/_0529b904._.js,parse,1423,2282,248
JavaScript,apps/frontend/.next/dev/static/chunks/_9d7129ce._.js,parse,1423,2282,248
JavaScript,apps/frontend/.next/dev/static/chunks/_cafe8dd1._.js,parse,19011,19870,248
JavaScript,apps/frontend/.next/dev/static/chunks/_d31069a4._.js,parse,19011,19870,248
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_3adea6a4._.js,handler,5167,6067,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_04b46ed4._.js,handler,2533,3433,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_05259d59._.js,handler,4296,5196,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_142d6256._.js,handler,2555,3455,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_44260494._.js,handler,2533,3433,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_a11b2504._.js,handler,4288,5188,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_aaa5b9ed._.js,handler,2533,3433,240
JavaScript,apps/frontend/.next/dev/server/chunks/ssr/6063a_next_dist_ee1707a6._.js,handler,2533,3433,240
JavaScript,apps/frontend/.next/server/chunks/ssr/6063a_next_dist_1d085403._.js,K,1,2,219
JavaScript,apps/frontend/.next/server/chunks/ssr/6063a_next_dist_esm_build_templates_app-page_66cebe1b.js,K,1,2,219
JavaScript,apps/frontend/.next/server/chunks/ssr/apps_frontend_196fe393._.js,K,1,2,219
JavaScript,apps/frontend/.next/server/chunks/ssr/apps_frontend_2d735886._.js,K,1,2,219
JavaScript,apps/frontend/.next/server/chunks/ssr/apps_frontend_5f39336d._.js,K,1,2,219
